Название----Ссылка
Mencius Moldbug, An open letter to Open-Minded progressives----https://www.unqualified-reservations.org/2008/04/open-letter-to-open-minded-progressives/
Верещагин, Успенский, Шень. Колмогоровская сложность и алгоритмическая случайность----https://mccme.ru/free-books/shen/kolmbook.pdf
Пост про биологический ленинизм----https://bloodyshovel.wordpress.com/2017/11/14/biological-leninism/
Mencius Moldbug, How Dawkins got pwned----https://www.google.com/amp/s/unqualifiedreservations.wordpress.com/2007/09/26/how-dawkins-got-pwned-part-1/amp/
Theodore Kazcynsky, Technological slavery----http://hettingern.people.cofc.edu/150_Spring_2015/Skrbina_Introduction_to_Technological_Slavery_The_Collected_Writings_of_Theodore_J_Kaczynski_a_k_a_The_Unabomber_.pdf
Юкио Мишима, Золотой храм----http://www.lib.ru/INPROZ/MISIMA/zolotoj_hram.txt_with-big-pictures.html
Peter Gelderloos, How nonviolence protects the state----https://theanarchistlibrary.org/library/peter-gelderloos-how-nonviolence-protects-the-state
Political Violence is a Game the Right Can’t Win----https://jacobitemag.com/2017/06/14/political-violence-is-a-game-the-right-cant-win/
Orders of magnitude----http://www.2pih.com/orders-of-magnitude
Putting Hardcore Activism to Work for You----https://jacobitemag.com/2017/08/18/putting-hardcore-politics-to-work-for-you/
